permaticker,last_trade_date,event_type,in_core,in_clones,in_phaseF,evidence_required
198495,2016-09-06,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199096,2016-09-22,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199178,2017-01-04,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195867,2017-01-13,DELISTED_OTHER,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194340,2017-02-24,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198417,2017-03-10,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198484,2017-03-10,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
193321,2017-06-14,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
113491,2017-06-16,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198375,2017-07-03,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195259,2017-07-24,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198012,2017-08-28,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199769,2017-08-31,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198486,2017-09-12,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198462,2017-10-31,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199915,2017-12-28,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197557,2019-02-12,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
119498,2019-03-20,DELISTED_OTHER,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194984,2019-03-20,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196648,2019-06-28,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198310,2019-11-20,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194695,2019-12-04,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198658,2019-12-06,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
195237,2020-01-23,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
196736,2020-04-02,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
191420,2020-05-08,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197057,2020-10-02,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199485,2020-10-02,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199285,2021-01-06,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194516,2021-01-15,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199176,2021-04-14,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199000,2021-05-14,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197642,2021-07-21,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198698,2021-08-26,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
199604,2021-12-13,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198693,2022-02-11,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
166332,2022-02-25,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
194273,2022-04-04,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
119313,2022-04-08,DELISTED_OTHER,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198397,2022-06-07,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
197912,2022-09-29,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198539,2022-09-30,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
192873,2022-10-10,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
187959,2022-10-27,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198315,2022-12-21,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198834,2023-03-28,BANKRUPTCY_LIQUIDATION,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
119243,2023-03-28,BANKRUPTCY_LIQUIDATION,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
119256,2023-05-03,DELISTED_OTHER,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
198850,2023-10-12,ACQUIRED,False,True,False,"SEC 8-K Item 2.01/1.03, merger agreement, exchange ratio, equity recovery"
