formation,permaticker,deploy_date,scheduled_exit_date,last_trade_date,event_type,note
2014-12-31,194188,2015-01-02,2015-07-01,2015-01-26,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,197505,2015-01-02,2015-07-01,2015-06-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,198027,2015-01-02,2015-07-01,2015-03-11,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,198103,2015-01-02,2015-07-01,2015-03-16,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2014-12-31,199378,2015-01-02,2015-07-01,2015-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,191963,2015-04-01,2015-10-01,2015-07-02,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,193222,2015-04-01,2015-10-01,2015-07-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,193634,2015-04-01,2015-10-01,2015-06-11,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,195268,2015-04-01,2015-10-01,2015-09-02,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,195722,2015-04-01,2015-10-01,2015-07-01,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,197505,2015-04-01,2015-10-01,2015-06-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,199445,2015-04-01,2015-10-01,2015-08-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-03-31,199736,2015-04-01,2015-10-01,2015-07-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,191963,2015-07-01,2016-01-04,2015-07-02,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,193222,2015-07-01,2016-01-04,2015-07-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,195268,2015-07-01,2016-01-04,2015-09-02,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,195722,2015-07-01,2016-01-04,2015-07-01,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,197442,2015-07-01,2016-01-04,2015-10-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,198590,2015-07-01,2016-01-04,2015-12-24,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,199354,2015-07-01,2016-01-04,2015-11-18,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,199445,2015-07-01,2016-01-04,2015-08-28,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-06-30,199736,2015-07-01,2016-01-04,2015-07-06,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,116543,2015-10-01,2016-04-01,2015-12-11,DELISTED_OTHER,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,195861,2015-10-01,2016-04-01,2016-03-23,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,196660,2015-10-01,2016-04-01,2016-01-29,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,197442,2015-10-01,2016-04-01,2015-10-30,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
2015-09-30,197592,2015-10-01,2016-04-01,2016-03-02,ACQUIRED,ELIGIBLE-UNIVERSE exposure only; no selection or return computed (period sealed)
